Cols retained,pearson_r,mse
8,0.5465666431341304,0.7309585213661194
16,0.6091921667367264,0.6435662508010864
32,0.6243230230571317,0.6358205080032349
64,0.6627187947472378,0.570406973361969
128,0.6922050510370182,0.5433964133262634
256,0.6937806667923717,0.5363920331001282
512,0.7226989530628832,0.4975205957889557
1024,0.7422386417178467,0.48584580421447754
2048,0.7395068447038095,0.4773934781551361
4096,0.766539754948127,0.44163206219673157
8192,0.7785848444154323,0.4075959622859955
16384,0.7805072638583287,0.4150165021419525
