Cols retained,pearson_r,mse
8,0.5870685700807444,0.7764433260874722
16,0.6569002402428207,0.6766204999722785
32,0.6731337366110896,0.651095342910328
64,0.7134485159567078,0.5635681581957219
128,0.7215663812513594,0.5338381026105602
256,0.7416451872782192,0.5058539151705846
512,0.7472919052846803,0.4870105922658969
1024,0.7652194060173048,0.4705543313492697
2048,0.7840742894655502,0.42757981585817406
4096,0.7982274125499096,0.39251526283115035
8192,0.800754323139287,0.38428735608126025
16384,0.7945350788411165,0.39792691318745593
