Cols retained,pearson_r,mse
8,0.6129948780002225,0.6398019469078323
16,0.6705378690974891,0.5587733645303526
32,0.6340320441173763,0.6135688014106825
64,0.6346924666243184,0.6113294203873304
128,0.6758929425143586,0.5677705959123821
256,0.7200319123333149,0.49999448604395086
512,0.746897965073615,0.44688060834945403
1024,0.7472589076030065,0.4485307794112792
2048,0.7558374417213104,0.4361409578070625
4096,0.7547021361699077,0.43960418990355743
8192,0.7555260024153615,0.4402492176599555
16384,0.7543268005086711,0.44083283383545546
