Cols retained,pearson_r,mse
8,0.5360757506410775,0.7223989367485046
16,0.5704100060152038,0.6747949123382568
32,0.6039823624038011,0.6295809745788574
64,0.6475443772324038,0.579536497592926
128,0.6842498575398791,0.5356584787368774
256,0.6750302749086168,0.5530590415000916
512,0.6601985915859215,0.5961598753929138
1024,0.6651302062356576,0.6112667918205261
2048,0.6755967796352281,0.6081694960594177
4096,0.7320028166884249,0.499239444732666
8192,0.7346008396072145,0.4957162141799927
16384,0.7548721194992608,0.44764432311058044
