Cols retained,pearson_r,mse
8,0.5750883646927597,0.672572047945175
16,0.6414248072523209,0.5981200780347901
32,0.6670496703431049,0.5657558279028713
64,0.6923359156005383,0.5331533116681132
128,0.7077392155030066,0.5153471744611672
256,0.7011625853896394,0.5284884550372292
512,0.7065262474893257,0.5242930796997022
1024,0.7077418906388887,0.5262748829611887
2048,0.7091408164649623,0.5355334511940845
4096,0.7051128689014584,0.5541887744681423
8192,0.7030524946580106,0.5811932849136332
16384,0.6988910151086758,0.6285614527870806
